Dist|GV|Vcmb
73.45|6240|5768
72.11|4682|4206
107.65|4797|4321
1.98|119|-69
67.92|5363|4926
85.51|6389|6070
55.46|5633|5158
152.76|13549|13139
174.58|14385|13973
51.52|5814|5339
86.7|6844|6369
70.15|4826|4351
152.05|13423|13013
150.66|11559|11149
194.09|11787|11348
154.17|15066|14658
85.11|7837|7711
248.89|15017|14558
152.76|13653|13242
48.08|5727|5336
57.54|5592|5134
152.76|13601|13194
103.75|5555|5165
80.91|5548|5158
61.94|4888|4416
90.36|5335|4945
136.14|14314|13843
138.04|10334|10141
120.23|5409|4955
175.39|11781|11329
107.15|12195|11742
104.23|9173|8969
28.58|2018|1703
135.52|13895|13425
44.46|3430|3236
34.83|2531|2064
107.15|12212|11761
79.8|5654|5197
192.31|12349|11894
18.88|1705|1330
124.17|6291|5977
0.08|74|-138
39.08|2909|2464
85.11|4992|4522
78.34|4961|4492
31.19|2810|2365
196.79|11910|11459
91.62|6155|5714
87.1|5762|5294
26.3|2318|1884
116.95|8311|8305
59.7|4462|4043
136.14|14608|14141
84.33|4448|3981
54.95|4174|3776
78.34|5833|5456
80.17|5952|5552
30.76|2174|2216
92.47|7056|6917
143.88|12419|11970
58.88|5464|4999
105.68|5838|5377
0.65|-142|-603
210.86|15833|15438
100.93|7578|7504
108.64|9912|9715
83.95|7306|7235
0.74|-150|-561
11.32|1153|777
107.65|8793|8656
53.7|6023|5559
57.28|5204|4741
120.78|5707|5602
166.72|12229|11782
44.26|4872|4410
89.54|6435|5972
107.65|9043|8934
218.78|14933|14528
62.81|5665|5204
54.7|5289|4828
89.13|6062|5601
95.06|7949|7809
67.61|5650|5190
74.82|4587|4127
4.71|283|-165
21.28|1360|1439
65.46|5387|4926
63.39|5221|4761
85.9|4412|3951
64.27|5155|4694
59.98|5681|5220
74.47|6044|5589
192.31|10072|9868
172.98|12914|12507
62.81|5597|5137
151.36|10147|9739
70.47|4918|4458
173.78|13609|13203
173.78|13211|12805
69.18|4843|4384
110.66|8044|7771
67.3|4557|4098
62.81|5132|4673
173.78|13217|12811
20.61|2045|1641
93.33|7234|7122
43.65|5144|4686
123.03|9268|9153
82.04|7723|7611
56.23|4800|4342
71.45|5334|4876
134.28|11658|11217
172.98|12593|12188
3|122|-333
99.08|7540|7445
56.49|5228|4776
92.9|7184|7074
87.9|6448|6260
52.48|5206|4760
58.08|3509|3323
96.83|6979|6521
115.35|6700|6592
67.61|4849|4393
57.02|5625|5169
66.68|5809|5440
65.46|5439|4984
106.66|11559|11119
72.11|4703|4697
68.87|8289|8181
58.08|3459|3291
74.13|5228|5198
49.66|4996|4541
51.29|5165|4710
73.79|5394|4940
92.04|7266|7194
58.34|4947|4493
64.86|5879|5499
74.13|5339|4949
72.44|5550|5335
11.32|1231|836
133.66|13281|12842
74.13|5344|4954
157.04|10235|10040
84.33|4905|4453
134.9|14206|13768
158.49|11674|11236
54.45|5695|5243
176.2|13368|12977
61.66|4885|4909
48.31|3538|3334
85.11|4968|4586
132.43|11429|10992
87.1|6087|5645
99.54|5519|5306
145.88|12508|12119
201.37|13363|12974
201.37|13527|13137
55.21|5406|4999
80.91|5623|5210
43.45|4600|4150
201.37|13614|13226
29.65|1993|1612
201.37|13557|13169
188.8|12125|11712
83.95|5616|5204
16.9|1830|1447
33.57|3683|3439
47.21|5007|4557
68.23|4372|3923
69.82|5344|5308
29.11|2512|2101
56.75|5120|4670
0.65|-32|-481
94.62|8941|8889
88.31|6266|5839
75.86|4808|4745
72.44|5640|5449
70.15|5298|4876
113.76|6995|6548
79.8|5317|4936
64.27|5759|5313
41.3|2454|2060
42.07|3539|3352
23.88|1806|1427
70.47|5248|4804
101.86|9592|9423
233.35|14828|14515
74.13|5428|5038
123.59|9501|9331
55.98|5368|4925
101.39|5879|5703
52.72|5050|4666
65.16|5244|4817
125.89|8687|8256
73.45|5901|5642
86.3|6032|5595
44.46|3869|3491
31.92|2379|1976
121.9|8442|8011
48.08|2671|2241
116.41|7094|6983
57.81|4596|4153
41.5|2610|2200
178.65|10024|9841
83.18|5262|4822
77.27|5628|5445
21.88|2412|2031
44.06|4351|3909
104.23|8206|7832
66.37|4261|3821
54.45|4517|4077
54.45|6172|5732
85.51|9290|9099
33.88|2059|1686
111.69|7830|7458
19.68|2786|2383
126.47|10334|9952
80.54|5167|4727
64.86|4397|3956
75.86|5262|5249
118.58|7139|6700
54.45|5662|5294
64.57|5091|4651
82.41|5651|5211
88.31|5017|4577
25.7|2577|2161
37.67|2518|2110
153.46|10259|10102
74.82|5161|4739
107.65|9217|9031
114.82|9624|9242
32.81|2561|2138
58.08|2829|2428
161.44|15370|14966
161.44|15600|15196
62.52|4357|3919
34.67|2816|2409
52.48|4955|4576
23.99|2518|2112
160.69|10715|10276
67.3|5916|5550
127.06|9265|8886
160.69|14913|14510
124.17|10509|10342
81.66|6439|6288
55.46|5048|4610
31.77|2463|2059
59.43|4912|4475
147.91|11201|10783
40.55|2878|2479
82.41|6115|5965
52.72|5591|5212
56.23|4822|4385
52.48|6650|6285
72.44|4907|4470
52.48|4953|4517
66.37|5444|5078
60.26|5223|4858
62.52|5310|4945
99.54|5295|4929
63.97|5596|5230
66.99|5399|5033
72.44|5587|5221
84.72|5478|5112
23.23|2003|1659
62.52|5341|4905
20.89|1582|1346
63.1|5852|5692
87.5|4296|3861
72.78|5972|5807
84.33|6554|6138
143.22|9541|9132
74.47|4815|4451
59.7|5507|5146
44.06|4507|4143
52.48|4209|3774
57.54|5455|5198
61.66|5350|4917
75.16|5889|5528
72.44|6558|6124
49.89|5760|5395
83.18|6448|6038
83.18|4827|4468
66.37|5662|5499
131.22|6760|6328
56.75|5894|5490
60.81|5224|4791
68.23|5952|5595
83.56|6486|6055
54.95|5397|4977
20.99|2978|2551
107.15|6648|6536
187.93|13034|12618
19.41|1613|1366
39.08|3534|3485
89.54|5772|5531
48.31|2922|2507
67.92|4634|4226
20.04|1886|1553
58.88|4589|4181
87.5|6257|6139
61.94|4515|4086
52.72|5250|5084
24.55|1587|1748
21.68|1939|1610
35.16|2868|2465
24.32|1774|1403
38.73|3600|3228
0.91|-36|-462
53.21|3754|3589
91.62|5735|5511
90.36|5459|5177
69.82|5936|5544
3.52|316|201
28.18|1876|1551
108.64|7220|7105
65.16|5934|5540
62.23|5334|5185
102.33|6782|6360
155.6|12410|12098
36.64|3240|2865
154.88|12267|11957
73.79|5616|5195
145.21|11274|10858
58.34|4382|4004
128.23|8890|8725
67.3|4730|4919
82.41|6148|6046
133.66|5818|5630
29.38|1885|1568
150.66|7526|7219
68.23|4990|4571
79.43|5882|5687
34.36|3383|3014
85.51|5644|5451
66.99|5675|5258
29.51|2161|1837
127.64|8239|7844
52.24|5421|5045
19.23|1528|1206
50.58|4390|4014
65.16|4451|4639
73.11|5764|5569
70.79|5569|5198
184.5|13424|13017
46.34|3084|2697
33.27|2903|2504
73.45|4909|4655
193.2|9408|9035
13.68|917|530
73.79|5636|5277
13.55|944|556
150.66|6247|6162
75.16|5698|5338
61.09|5639|5265
181.13|10039|9634
82.04|6315|6230
65.46|5497|5139
69.5|8109|7724
139.96|10327|9945
65.46|4707|4312
166.72|9954|9846
75.51|5809|5398
4.57|303|216
104.71|6278|6179
71.45|5417|5065
102.8|7981|7573
90.78|5802|5392
72.78|5292|4919
58.88|4649|4241
45.29|3244|2842
82.41|5609|5229
121.34|9922|9817
7.45|466|62
116.95|8586|8434
95.5|5167|4912
7.18|554|150
82.04|4810|4404
157.04|11000|10594
58.61|5265|4892
59.16|5106|4728
65.16|5186|4807
73.79|4880|4501
77.98|6197|6151
76.21|3965|3560
49.66|1769|1484
135.52|11919|11515
25.12|2858|2466
76.21|5267|5001
71.45|4711|4335
103.28|4302|3898
5.27|296|-107
60.26|5196|4792
151.36|11819|11597
72.11|4169|3981
60.81|5073|4690
25.94|2984|2589
33.88|3636|3236
106.17|5323|4919
43.65|3664|3264
134.28|10755|10351
19.14|1646|1293
69.18|5666|5264
56.49|5257|4854
36.81|2781|2389
134.28|10837|10435
83.56|5513|5238
58.88|4293|3891
81.28|11458|11056
133.66|10122|9720
59.43|5318|4916
59.16|5286|4901
20.8|1845|1559
0.42|-148|-221
20.51|3050|2659
32.66|3237|2845
337.29|26068|25666
135.52|11902|11501
72.78|4832|4430
134.28|10551|10149
39.08|2155|1854
64.57|5458|5057
134.28|10757|10356
240.99|17801|17471
57.81|5047|4663
120.78|9074|8870
45.71|5103|4702
56.75|4013|3855
91.2|5444|5084
75.16|4439|4039
128.23|9805|9675
58.88|4875|4475
72.78|5726|5326
71.12|4987|4587
73.11|5042|4730
59.98|4655|4286
27.16|1717|1455
66.68|5486|5087
68.23|5433|5035
62.23|4297|3899
63.68|5889|5491
65.16|5182|4809
54.45|5150|4752
47.21|5046|4666
69.82|5253|4856
85.9|5823|5787
51.76|5009|4665
76.91|7005|6627
46.34|5213|4837
80.54|4859|4483
82.04|5305|4959
55.98|5749|5353
59.7|5739|5343
143.88|8247|7921
49.43|4748|4352
66.07|4779|4382
73.45|5559|5216
48.75|5502|5105
90.36|5980|5623
109.65|8302|7926
106.17|11453|11078
70.47|5149|4804
98.63|5038|4700
126.47|7749|7384
77.62|5112|4717
21.09|1652|1372
58.61|4613|4219
160.69|11539|11164
71.12|4764|4396
88.31|5659|5589
194.09|13668|13349
55.46|4481|4170
28.31|1859|1594
105.68|6727|6410
108.64|8015|7648
68.87|4907|4572
89.95|5389|5113
75.86|5587|5448
65.16|4790|4398
134.9|11032|10924
52.72|5390|4997
82.04|4833|4499
147.91|9847|9723
78.34|6335|6010
88.72|5448|5350
47.86|5038|4653
79.8|7052|6734
70.15|5888|5551
37.67|4803|4523
59.43|4984|4594
70.79|5608|5217
52.48|5186|4803
46.56|4693|4332
55.72|4557|4169
20.23|1414|1125
69.82|5202|4821
160.69|10379|10257
83.18|5042|4662
56.23|4959|4584
58.88|5179|4799
78.34|5420|5277
52.48|4293|3905
63.1|4793|4451
34.2|2532|2161
48.53|4735|4608
5.15|321|-62
71.12|6245|6280
69.82|4939|4778
173.78|12632|12258
106.66|7655|7319
100.93|6451|6133
31.33|2944|2570
116.95|7582|7205
63.97|4807|4481
109.14|8061|7703
75.86|5130|4753
52.24|5916|5532
21.78|2186|1827
98.17|6187|6183
69.82|4926|4736
60.26|6363|6046
75.16|5378|5111
172.19|9168|8788
95.94|7856|7516
89.13|5323|4941
87.1|4552|4170
55.46|5359|4980
115.88|5814|5479
88.31|7606|7257
68.23|4557|4176
94.62|7982|8102
111.17|9312|8976
107.15|7532|7185
127.06|9291|8955
58.61|5289|5215
77.27|5760|5755
74.47|5082|4708
149.28|10587|10452
117.49|6854|6546
52.72|5316|4940
69.18|5740|5363
125.31|8088|7755
118.58|9186|8853
132.43|7923|8011
95.5|8626|8250
62.81|5063|4690
140.6|9590|9414
23.23|1822|1485
65.46|4497|4151
38.02|3572|3250
77.98|5298|4941
80.17|3469|3147
58.08|4407|4031
51.29|3522|3195
60.81|3373|3053
73.45|5283|5102
24.21|1940|1686
115.35|8414|8054
64.57|5251|4891
65.16|4650|4315
105.68|8335|7987
76.21|5690|5316
54.45|3278|3156
54.95|3509|3186
92.9|7347|7023
19.59|2018|1766
84.72|5542|5357
79.43|7384|7010
64.27|3595|3296
90.36|4623|4307
88.31|5184|5002
126.47|7964|8111
177.01|13426|13053
83.18|5135|5054
49.43|4500|4127
48.98|4739|4365
46.13|4395|4047
98.63|7351|6978
54.7|4683|4310
121.9|7893|7548
75.51|6138|6036
48.08|5124|4754
93.76|6311|5940
77.98|5049|4785
81.66|4305|4109
66.07|4998|4793
77.98|4488|4149
119.12|9266|9073
87.1|5037|4670
77.98|4328|3983
47.42|2431|2233
4.31|126|-241
124.17|8274|7950
107.65|7837|7960
141.91|10400|10201
51.76|4896|4536
143.22|11173|10830
113.24|10887|10544
140.6|8318|7977
8.83|705|343
55.21|3639|3512
281.84|17185|16869
51.05|4983|4727
151.36|12692|12437
70.47|5417|5052
66.37|4578|4212
201.37|15852|15667
59.7|4515|4164
56.75|4279|4078
127.06|6654|6322
59.7|5209|4853
66.99|3456|3332
77.98|5847|5482
21.38|1879|1649
97.72|4951|4587
32.96|3116|2756
123.59|10282|9921
34.36|3834|3503
54.2|3984|3654
103.28|6184|5824
67.3|4849|4709
26.06|3696|3371
147.91|9128|8766
145.21|10667|10516
69.82|4851|4493
61.94|5256|5005
59.16|3866|3537
119.12|5843|5546
19.86|1571|1383
23.23|1553|1379
71.45|4287|4084
77.27|5114|4760
71.45|5969|5913
30.76|2298|2116
117.49|8839|8892
106.17|7261|6955
121.9|7900|7579
46.56|4631|4284
