Dist|GV|Vcmb
111.69|8064|8249
19.23|1711|1742
18.54|1778|1797
69.82|4183|4170
19.59|1180|1207
21.98|1074|1079
14.26|900|1002
20.42|-128|-101
25.94|1443|1406
19.68|1994|2020
164.44|9370|9185
6.61|478|576
23.66|1713|1692
20.14|1248|1271
17.78|1505|1541
22.28|1086|1049
19.23|1187|1201
47.21|5788|5653
52|5466|5224
18.79|1073|1108
17.54|1203|1236
28.71|1357|1344
19.77|637|672
19.95|1163|1197
18.37|1506|1537
78.7|6394|6254
16.6|1724|1746
21.48|1714|1685
17.7|1192|1228
26.79|3296|3037
18.71|1742|1778
21.78|1595|1631
15.92|761|801
112.72|9118|8950
19.86|1455|1490
19.41|1577|1615
19.14|1163|1201
60.81|4105|4009
20.14|1643|1680
19.77|815|855
9.55|1395|1385
125.31|8144|8329
111.17|9647|9512
94.62|6912|6790
19.86|719|760
20.51|1008|1044
58.61|5039|4802
20.89|1270|1300
87.1|6110|5872
138.68|8919|8775
22.08|1292|1333
23.77|1599|1584
19.14|858|937
19.5|1812|1854
70.79|4246|4230
94.19|9835|9664
13.49|1403|1389
20.42|942|967
23.99|499|467
18.97|1342|1088
28.18|1700|1669
32.51|1596|1567
23.12|1993|2047
23.66|1444|1433
19.77|1185|1223
26.06|1774|1768
97.72|6279|6149
69.82|5392|5303
13.24|1538|1524
12.94|1602|1646
124.17|9151|8984
86.3|6083|5945
53.95|4075|3988
116.95|9207|9042
47.21|3981|3996
21.68|1389|1413
71.45|7558|7454
44.67|4155|4069
19.5|1253|1301
20.51|1503|1549
20.32|2001|1952
23.12|1342|1332
127.06|9269|9105
36.48|2087|2037
240.99|17520|17644
64.86|5581|5497
21.48|974|1017
17.06|1255|1307
15.85|1459|1669
96.83|6024|5836
108.64|6552|6396
29.65|1499|1458
17.22|1013|1103
25.7|1565|1558
74.82|5286|5433
50.58|5276|5194
16.29|902|957
15.7|665|718
19.5|1874|1933
31.48|1449|1448
138.04|8242|8010
8.59|1366|1424
19.77|1200|1260
18.03|1790|1843
172.98|8773|8619
58.34|3740|3662
10.23|1164|1137
2.73|183|-66
54.2|3948|3867
52.72|4048|4062
79.07|5599|5663
68.55|4029|4049
19.86|1717|1780
26.67|1483|1481
14.39|1361|1113
85.9|5500|5293
66.99|4181|4170
18.28|814|928
22.49|1406|1431
114.82|8293|8434
14.06|1241|1432
19.23|1288|1353
81.66|4417|4174
102.33|6029|5855
52|5493|5275
11.43|1440|1497
27.93|1527|1747
106.17|5712|5603
37.33|4124|3932
109.65|8438|8431
14.79|895|970
108.64|7405|7406
20.04|1226|1298
127.06|8376|8372
78.34|5680|5813
9.46|1328|1086
103.28|7321|7338
89.13|6295|6296
73.11|8030|7895
8.13|302|167
127.06|7432|7438
51.76|4336|4370
12.25|960|1087
99.54|4373|4450
51.76|5482|5386
40.74|2400|2161
16.14|1137|1325
158.49|9617|9760
2.98|223|-14
82.41|5364|5184
85.11|5609|5780
24.66|1102|1291
55.21|4009|4048
59.43|4251|4066
62.52|2657|2418
139.96|9794|9939
60.53|4277|4385
65.46|5781|5626
67.92|5200|5376
42.07|3767|3699
11.97|736|853
17.3|1002|1155
10.14|807|760
52.48|5305|5233
58.61|4594|4430
8.28|807|843
47.42|5266|5201
72.78|3993|4066
73.11|4862|4991
17.86|1727|1749
69.5|4101|4140
17.06|1002|1142
43.25|3545|3465
9.59|1334|1466
48.75|5015|4974
48.98|4322|4366
20.51|608|774
60.26|4112|4165
20.04|1053|1145
19.59|980|1155
61.09|4968|4921
23.12|1261|1352
48.31|3270|3225
18.2|1057|1230
18.37|961|1135
45.71|3534|3494
127.64|8833|8835
125.31|9458|9503
12.59|1110|1302
38.73|3777|3654
6.61|1317|1493
95.06|5050|5028
67.92|4367|4516
10.96|771|840
101.39|8819|8873
19.32|853|1037
20.42|2622|2396
109.65|11382|11563
58.08|4919|4910
151.36|11858|12036
145.88|10929|11105
60.53|4644|4873
15.35|1321|1507
150.66|10560|10745
48.98|4924|5094
164.44|12850|13034
121.34|7566|7348
194.98|13007|13193
79.8|5775|5980
137.4|12546|12732
74.13|4060|4198
51.52|3970|4074
45.71|3497|3501
3.25|43|-163
79.07|4243|4270
67.3|4591|4572
27.54|2442|2454
55.98|4697|4717
20.99|792|982
3.22|33|-170
26.79|1690|1870
176.2|10166|10166
63.1|5462|5341
63.1|4283|4448
45.08|4026|3992
2.99|116|-99
143.88|12311|12415
75.86|6147|6230
149.97|8798|8859
150.66|9725|9788
150.66|9618|9680
150.66|9582|9645
151.36|10289|10352
109.65|8943|8986
80.17|4461|4245
36.98|4805|4833
66.37|4764|4793
39.08|3440|3457
56.75|4678|4709
68.87|5315|5537
65.46|3640|3660
57.02|3607|3645
57.28|4895|4953
82.41|4938|4725
41.5|4033|3888
118.03|8477|8694
137.4|9223|9331
77.27|5372|5481
71.45|4124|4354
76.56|4633|4628
73.45|4809|4868
80.17|4412|4456
28.84|3264|3297
53.95|3863|3662
75.16|8476|8586
53.46|4644|4430
17.46|633|671
44.46|3216|3251
88.31|4429|4485
119.67|7388|7335
124.17|9314|9546
77.98|5031|5208
169.04|10665|10762
54.2|4565|4556
38.9|3363|3467
22.39|1155|939
61.94|4572|4630
114.82|6775|6998
72.11|4707|4504
56.23|4598|4604
95.5|8857|8965
64.57|4949|5173
169.82|11656|11758
19.05|1795|1583
64.27|4412|4548
118.58|8011|8144
87.1|4867|4680
61.94|5156|5329
55.46|4364|4453
9.68|884|1046
48.31|2721|2790
95.94|9364|9481
59.43|5306|5476
53.95|4418|4493
61.38|4672|4694
63.1|4507|4543
15.56|998|1167
141.91|9436|9558
102.33|8838|8886
89.13|5573|5685
133.66|10104|10225
5.51|429|647
65.46|4707|4510
59.7|4800|4904
111.69|9259|9385
50.35|3752|3826
64.86|6674|6817
101.86|5564|5735
71.78|4484|4536
71.12|5367|5488
73.11|4809|4973
45.5|3990|4093
45.5|3789|3871
6.95|472|674
51.05|3843|3924
54.95|4106|4161
64.86|4823|4887
14.39|1022|832
66.99|4099|4167
66.99|4072|4140
67.3|4637|4705
84.33|8415|8452
66.99|4344|4412
69.82|4788|5024
40.93|3305|3436
80.54|6631|6771
55.46|3551|3663
73.11|5475|5613
9.64|580|743
37.67|3536|3619
67.61|5348|5177
31.77|1094|1333
55.72|4441|4592
44.06|3462|3568
84.72|6213|6393
53.95|4169|4302
60.53|4742|4816
114.29|9584|9736
97.27|7186|7337
72.11|5183|5329
55.46|4218|4306
97.27|7352|7503
58.08|4106|4180
134.28|8448|8497
238.78|12242|12405
100.93|4668|4738
134.9|12272|12437
89.95|6707|6851
103.75|6354|6589
119.12|5978|6040
58.88|3779|3968
106.17|7683|7834
11.48|1022|1227
26.92|2188|2315
152.05|9136|9294
63.39|4095|3914
63.1|4318|4467
11.27|1041|1283
97.27|8854|8923
9.08|808|1017
128.23|9376|9535
14.45|833|1044
147.91|8450|8696
100.93|6803|6997
59.43|3420|3582
31.05|2545|2675
32.66|1816|1982
75.16|6248|6071
59.7|4405|4478
22.28|1794|1948
26.18|1203|1449
66.99|4748|4970
121.9|9629|9855
159.96|9903|10090
121.34|8903|9081
112.72|8856|8930
146.55|10266|10462
55.46|5085|4896
3.39|222|64
107.65|4710|4961
172.98|8764|8844
20.51|1290|1495
133.05|8564|8640
109.14|8832|8906
138.68|10142|10330
100.46|9227|9306
81.66|7038|7117
103.75|7371|7450
115.88|8231|8310
18.62|1154|1377
111.69|7121|7200
113.24|7888|7967
125.31|9621|9701
14.93|1149|1403
130.02|8323|8402
91.62|9608|9691
124.17|9117|9308
79.07|8170|8250
44.46|2678|2844
75.51|4391|4504
58.08|4327|4536
66.07|4480|4717
111.17|6859|7034
70.15|5243|5080
70.15|4711|4967
90.78|4703|4959
61.09|4295|4077
111.17|8548|8736
83.56|8797|8884
120.23|8488|8577
59.43|4256|4343
15.63|1095|1326
66.99|4851|4665
31.33|1586|1787
113.76|9316|9405
155.6|12389|12574
0.05|74|333
85.11|4845|5038
48.08|3034|3219
58.34|5132|5393
116.95|9286|9504
24.77|2824|3006
71.45|4351|4596
104.71|8067|8264
6.7|379|581
43.85|2422|2574
61.38|3984|4236
160.69|9596|9851
129.42|8015|8221
41.69|4061|4321
77.27|4471|4711
127.64|8861|9078
98.17|8101|8368
31.77|2580|2758
63.1|4169|4429
17.86|1655|1874
53.95|3224|3416
141.25|10523|10760
15.35|1125|1376
22.7|1490|1709
96.83|4354|4186
89.54|6899|7083
58.88|4323|4594
130.62|10097|10368
66.68|3778|3896
65.77|5213|5290
71.45|4722|4949
44.46|2697|2913
158.49|10624|10894
136.14|10557|10801
205.12|10640|10887
77.62|4245|4055
161.44|11497|11767
100.46|10532|10800
15.14|1064|1328
54.7|3109|3333
131.22|10864|11110
131.83|11390|11636
16.14|1547|1786
132.43|11723|11969
132.43|11805|12051
113.76|8347|8592
113.76|8834|9079
147.91|12712|12961
105.68|6546|6828
24.21|1916|2145
62.52|2797|3054
32.81|2568|2800
162.93|12961|13212
180.3|11706|11955
134.9|11168|11418
200.45|11516|11766
83.56|4092|3935
245.47|13492|13744
201.37|12643|12894
199.53|13170|13421
133.05|12481|12732
131.22|10578|10829
131.83|11372|11624
12.59|1228|1059
215.77|13576|13829
137.4|13183|13436
203.24|14804|14674
179.47|8750|8998
133.66|13201|13454
42.85|1981|2211
39.26|2882|3118
215.77|13427|13682
11.86|721|993
17.95|950|1237
52.48|3177|3082
133.05|12914|13170
214.78|12442|12696
214.78|12584|12838
124.17|11410|11664
133.05|12622|12878
131.83|11129|11386
166.72|10996|11262
133.05|12575|12831
160.69|10678|10934
129.42|10620|10893
133.05|12466|12723
132.43|11689|11946
132.43|11819|12076
100|6986|7268
132.43|7488|7767
214.78|12517|12776
132.43|11666|11924
131.83|11168|11428
131.83|11371|11631
44.46|2196|2442
79.43|4283|4576
41.11|2909|3194
73.45|5974|5921
52.24|3455|3746
65.46|5225|5217
107.65|8097|8368
89.54|7435|7720
85.9|5275|5135
30.62|2941|3187
134.9|10435|10718
40.74|2953|3199
88.31|8293|8547
65.16|5863|5798
59.43|4525|4793
65.16|3120|3385
136.14|8050|8343
56.23|2598|2856
207.01|13715|14011
44.67|2785|3047
28.58|1681|1951
106.66|9872|10168
30.9|1608|1885
63.97|4915|4729
152.05|10170|10473
119.67|8168|8434
31.05|1192|1480
36.98|1649|1926
18.2|1589|1861
136.77|11839|12121
224.91|12578|12882
24.89|2052|2302
120.78|9547|9850
47.86|2711|2987
30.62|2054|2308
23.66|1609|1898
76.21|4286|4567
97.72|8425|8737
115.35|8905|9217
165.96|12477|12789
138.04|7759|8033
29.38|1677|1920
97.27|9886|10197
101.39|7146|7049
169.82|11091|11386
114.82|11282|11587
9.64|565|872
21.48|988|1292
143.22|8211|8517
25.7|2033|2322
134.28|8845|9160
95.5|6569|6849
113.76|10317|10605
61.94|4393|4278
57.81|5710|6005
193.2|10986|11296
202.3|10088|10398
192.31|11086|11396
90.36|6556|6841
106.66|10938|11248
134.28|11218|11529
189.67|11091|11401
156.31|11283|11594
136.14|10932|11243
100.93|11046|11357
49.66|2594|2886
165.2|11254|11565
145.21|8797|9108
134.9|11278|11589
16.9|1399|1251
115.88|8559|8868
211.84|11139|11452
177.83|6902|6802
101.39|11474|11787
126.47|11313|11625
128.82|11283|11595
27.16|1891|2166
136.77|10850|11163
159.22|10498|10815
105.2|10333|10642
152.76|11446|11769
46.99|4132|3995
108.14|9136|9460
131.22|10145|10469
82.79|5464|5758
77.27|4162|3977
6.08|355|674
77.98|6075|6386
158.49|10435|10757
61.94|5082|5015
46.77|4376|4184
29.11|1500|1814
49.89|2384|2686
98.63|7860|8167
77.98|5996|6291
110.15|7063|7392
10.42|573|846
103.75|7781|8092
76.21|4420|4755
40.36|2040|2361
86.3|8074|8387
65.16|4133|4437
141.25|11597|11916
83.95|6992|7310
18.88|1662|1485
46.56|2776|3005
57.81|2668|2987
87.9|6397|6712
103.75|6850|7180
30.06|2061|2381
141.25|10916|11256
6.31|289|617
31.19|2774|2707
139.32|9549|9873
102.33|7240|7579
33.57|2640|2972
71.78|4072|4374
84.72|6551|6543
20.23|1617|1957
83.18|6797|7147
137.4|5232|5284
33.42|2505|2844
86.3|6655|7007
83.18|5837|5838
6.34|294|642
18.88|796|1148
27.42|2535|2883
29.24|2463|2802
66.37|6453|6812
154.17|8869|9229
70.47|5302|5480
80.54|5124|5486
118.58|8610|8925
32.36|2383|2726
0.11|-3|352
34.99|1694|2060
32.06|2392|2744
144.54|9859|10226
87.1|5321|5627
61.38|3674|3585
102.33|7462|7786
103.75|6111|6413
26.92|1684|2046
162.18|10984|11350
177.83|9789|10160
24.66|1496|1861
17.06|1825|2191
56.75|4200|4056
59.16|3418|3326
89.54|6039|6357
71.45|5160|5360
124.17|7163|7538
89.95|5736|5753
41.5|1792|2167
28.44|1672|2053
83.95|6010|6028
20.04|1516|1487
125.89|10484|10865
71.12|6548|6925
108.64|8267|8621
26.06|1189|1400
70.79|4595|4398
27.54|2108|1919
73.11|5590|5974
90.78|6706|6787
87.5|9128|9513
54.7|4596|4399
58.08|4084|4015
77.27|5121|4948
43.85|3359|3321
34.04|2460|2848
80.17|6335|6354
107.65|7791|8044
25.82|1937|2329
56.23|4469|4679
92.04|4958|5353
145.21|9392|9735
98.17|9242|9632
70.79|5950|5979
105.68|10427|10826
102.33|5915|5959
197.7|12724|13113
111.17|7888|8257
79.43|5407|5452
27.8|2107|2365
36.64|2170|2409
91.62|5816|5851
102.8|4747|4902
76.56|6200|6247
70.15|5832|5878
77.27|6265|6311
80.17|4865|4901
30.9|1548|1901
73.79|5851|5887
70.79|5751|5798
65.77|3920|3785
65.77|6543|6580
88.31|5449|5855
68.55|4944|4982
80.17|5970|6007
94.19|5959|6010
81.66|6214|6255
133.05|9817|10035
53.95|4322|4195
85.11|7001|7340
127.64|9066|9400
6.66|197|489
62.23|5875|5914
30.62|2399|2203
48.75|4110|4422
115.35|5567|5619
120.23|7130|7279
38.73|2026|2438
42.85|2587|2972
87.5|6310|6533
27.8|1268|1183
10.91|860|1239
143.88|9953|10285
88.31|4527|4465
87.9|7212|7375
34.83|3001|3365
43.85|3857|4014
35.16|3169|3354
47.64|4221|4143
73.79|3934|4092
68.87|3823|3981
33.73|2208|2435
96.38|8498|8883
128.82|8459|8762
104.71|6120|6339
85.51|5026|5230
62.23|2912|3276
114.29|8950|9328
50.7|3390|3370
138.04|10015|10023
88.31|11946|11952
45.5|3376|3723
121.9|8958|9339
51.76|2327|2548
22.28|1128|1470
188.8|11233|11240
152.05|12166|12173
99.08|10981|10986
111.69|5047|5308
47.42|2436|2706
33.88|2194|2436
41.88|2996|2889
43.25|2975|3345
61.09|5296|5538
108.14|7107|7249
34.99|2014|2438
25.94|1557|1981
31.62|3588|3582
86.7|5430|5665
156.31|10307|10673
65.77|5194|5453
73.79|4455|4719
59.43|7757|7929
43.05|3059|3136
66.37|8421|8680
32.96|2357|2191
77.27|7831|8003
125.31|8067|8327
53.46|3380|3732
60.26|4086|4261
58.61|4381|4642
3.34|218|132
95.5|7778|8186
70.47|3914|4089
93.33|4966|5321
54.7|4765|4942
64.57|4857|5032
53.46|2976|3351
31.92|2188|2025
41.69|3016|3393
171.4|11755|11773
157.04|9950|10281
71.12|5514|5395
104.23|7988|8295
4.63|299|650
89.13|4980|5177
13.3|778|1193
3.17|321|256
21.18|1220|1568
66.07|4634|4834
63.97|4646|4836
35.48|2627|3051
58.34|5036|5358
56.23|4994|5316
10.47|728|1153
154.88|8850|8878
3.18|244|190
79.43|4965|4919
22.59|1078|963
71.78|4499|4761
60.26|4657|4968
47.86|3972|4145
53.95|2824|3238
85.9|5900|6027
50.58|2578|2984
55.21|3883|4043
71.78|5013|5295
56.49|3602|3599
87.9|6699|6773
45.92|6415|6494
150.66|10413|10777
84.33|8601|8918
45.5|3348|3499
127.06|8071|8305
10.38|358|504
8.17|171|473
7.98|182|487
59.7|5967|5937
130.62|8306|8600
91.62|7183|7450
60.81|3693|3903
38.9|2617|3023
124.74|5721|5796
44.67|4162|4371
67.61|4172|4109
47.42|2678|3079
43.05|4186|4136
48.31|2622|2991
130.62|6709|6714
139.32|9272|9388
9.25|488|554
69.5|4929|5289
53.95|4384|4580
32.81|1804|1784
127.64|8078|8304
72.78|3925|4146
60.53|3655|3884
143.22|10016|10369
95.5|4766|4967
56.75|4536|4837
151.36|8242|8470
48.08|4228|4451
38.9|4387|4611
149.97|9247|9597
77.27|3460|3504
65.77|4564|4895
127.06|9702|10053
115.35|8813|9160
44.67|3596|3492
88.31|6660|6640
134.9|7551|7591
123.03|8756|9091
61.09|3589|3490
26.3|1546|1865
59.43|4563|4821
92.04|10637|10973
75.51|5061|5425
139.32|9889|10294
7.87|237|574
97.27|4580|4852
53.21|3547|3578
14|869|1309
75.86|4730|5009
86.7|5177|5396
58.88|4610|4928
109.14|7338|7603
120.78|8968|9004
59.43|4505|4853
76.56|6048|6052
114.29|7992|8256
24.32|733|884
220.8|12418|12432
74.13|4745|5114
100.93|9136|9520
89.13|8190|8535
30.34|1669|1665
70.15|5165|5427
45.71|3082|3247
131.22|8311|8724
66.68|4636|4926
71.45|4454|4824
108.14|10115|10485
51.29|4488|4855
30.76|2031|1841
66.68|3938|3831
93.33|7784|8186
75.86|4985|4938
16.75|1380|1836
142.56|12427|12608
127.64|8752|9132
138.04|7906|8077
41.88|5046|5377
162.93|8440|8789
66.37|2733|3072
71.45|4740|5078
77.98|5998|6030
95.06|6121|6297
79.8|5716|6105
54.7|4087|4375
80.54|5056|5007
54.2|3145|3267
86.7|5732|6118
16.37|1685|1561
138.04|9469|9636
113.76|8421|8747
154.88|9785|10159
75.86|4233|4538
75.51|6234|6515
33.73|2648|2705
34.2|2450|2659
141.91|6617|6928
100|5508|5585
12.59|573|708
173.78|10402|10762
67.3|3294|3610
11.53|590|697
68.87|4176|4492
114.82|8875|9269
60.81|4203|4510
80.17|5906|6175
35.16|2017|2318
31.05|2386|2606
147.91|9579|9951
35.32|1999|2298
130.02|9498|9878
63.39|4725|5050
23.44|1613|2105
32.36|3408|3724
12.59|1144|1181
3.27|278|204
96.83|4907|5235
74.47|4938|5264
10.19|555|659
63.39|4766|5090
75.86|5394|5719
54.95|3495|3813
105.2|7452|7447
90.78|4145|4470
72.11|4608|4899
68.87|4793|4738
126.47|5641|5978
54.45|2669|3138
57.54|4060|4375
145.21|7884|8223
101.86|6470|6798
52|2520|2945
43.65|3658|3975
40.18|4333|4777
59.7|4402|4879
106.66|8801|9175
35.65|3825|4250
119.12|8273|8570
55.72|5871|6154
56.75|4446|4890
3.43|235|160
40.74|1977|2295
108.14|6620|7080
38.9|2348|2764
65.16|4552|4881
97.72|9524|9908
107.65|5877|6210
30.9|2394|2294
167.49|13121|13497
64.86|4825|5270
37.5|2131|2414
72.11|4302|4630
57.54|4387|4716
87.1|5572|5890
112.2|7452|7781
26.3|1976|2275
62.23|5446|5767
35.16|2172|2473
96.83|5207|5526
82.79|5830|6187
64.27|4237|4568
35.81|3663|3735
66.99|4344|4683
76.56|6363|6691
9.86|394|573
161.44|15303|15573
27.16|1977|2337
80.54|4552|4897
98.63|5919|6259
57.54|5574|6072
64.57|5821|6114
123.59|9082|9537
67.92|5196|5501
85.51|4344|4845
27.54|1447|1954
104.23|7412|7598
27.8|1548|2054
3.68|120|92
69.5|4390|4771
19.32|2096|2385
72.11|4944|5267
153.46|13844|14241
66.68|5026|5307
174.58|8585|8899
3.53|272|213
20.61|1479|1349
62.23|3417|3707
49.2|4626|4974
97.72|8903|9298
104.23|4134|4624
123.03|8117|8483
80.91|5467|5779
90.78|7627|7902
105.2|4875|5288
115.88|7993|8014
17.7|742|830
43.85|3417|3324
74.47|5017|5114
34.2|1790|2225
59.7|4361|4873
80.91|5487|5999
67.92|4523|4885
95.94|4872|5222
77.98|6589|7102
104.71|6821|7209
28.05|1486|2000
96.38|5563|6074
39.63|1945|2343
67.3|3626|3968
79.43|5250|5565
43.65|2030|2316
126.47|7632|7891
87.1|3930|4349
74.82|3952|4374
59.16|3237|3752
74.13|3946|4364
102.33|8689|8831
65.46|4001|4421
257.04|12826|13158
73.45|4163|4529
79.8|4359|4877
96.83|6467|6787
25.59|2513|2424
29.11|2302|2208
101.86|6076|6452
58.61|3786|4265
33.88|2389|2297
95.06|8315|8650
93.76|5911|6202
40.55|2714|3209
31.92|1435|1467
111.17|7531|7774
140.6|8119|8413
27.42|3343|3719
37.67|2267|2518
119.67|8318|8773
44.06|2351|2873
34.67|1783|2301
17.46|815|931
45.08|3131|3610
8.59|372|638
39.81|3026|2912
96.38|6034|6486
16.44|716|831
76.21|4258|4632
127.64|9052|9551
276.69|16075|16504
32.21|1655|2140
105.2|7513|7756
33.88|1769|1923
66.68|4903|5430
56.23|3024|3419
27.04|1635|2122
40.55|1803|2290
35.48|1451|1936
48.31|4018|4428
65.77|3756|4220
35.65|1958|1772
18.79|1210|1596
95.5|5623|6039
60.53|4671|5170
152.76|7936|8247
38.37|2580|3071
65.46|3529|4025
34.67|2377|2474
32.06|1832|2007
41.88|2581|2660
70.79|5616|6120
51.29|3848|3795
151.36|9078|9186
87.5|5121|5246
41.3|1952|2237
111.69|8793|9208
39.81|1720|2252
134.9|8637|9053
31.92|1438|1851
25.94|2444|2886
68.23|3767|4159
100.46|5929|6267
79.07|5963|6299
56.75|4259|4556
124.74|8842|9257
15.7|1184|1578
179.47|10180|10541
55.72|1593|1635
31.77|1736|2268
100|6286|6786
25.59|1298|1754
75.16|4410|4752
31.62|2018|2285
28.31|1677|2205
73.11|5646|6156
21.38|1372|1410
231.21|15782|16298
57.81|3216|3752
104.71|7578|7952
17.46|1469|1344
116.95|7514|8050
24.21|1405|1801
244.34|11438|11786
40.93|2928|3301
42.46|2487|2578
66.99|5058|5192
25|1912|2193
32.96|1487|1804
89.95|4887|5425
29.79|1643|2160
138.68|8883|9264
32.81|2221|2346
22.18|1474|1518
33.27|1954|2492
33.57|2188|2728
9.59|464|1004
23.23|1998|2265
34.83|1985|2427
103.28|8465|8884
47.64|4031|4172
48.53|3632|4107
82.41|4781|5209
19.77|1614|1504
65.46|4929|5468
97.27|6362|6671
44.87|2487|2706
36.31|1885|2426
62.81|2602|2821
85.11|4842|5274
143.88|9239|9682
1.37|17|130
28.05|2142|2678
42.66|2314|2856
67.61|5480|5938
107.65|5135|5580
50.58|2202|2744
108.64|7009|7338
89.54|7349|7868
36.64|2320|2433
67.61|5058|5552
8.75|659|1202
229.09|11849|12295
61.94|4208|4748
56.49|2907|3306
30.06|2386|2302
34.04|2016|2176
71.45|4214|4635
7.41|810|770
100|6064|6346
45.5|3138|3531
62.23|2239|2493
122.46|6352|6640
20.61|1823|2362
108.64|6434|6722
96.38|7468|7737
125.89|16082|16525
42.27|2184|2724
26.55|1607|2149
15.92|619|1165
52.24|2397|2632
45.08|1471|1700
14.59|671|804
102.8|5985|6267
22.28|1424|1966
43.85|2669|2861
47.64|3332|3831
38.9|2494|3041
38.37|2134|2681
114.29|7932|8202
68.23|4030|4370
115.88|8529|8966
63.97|3069|3512
67.61|4839|5115
32.06|1590|1868
4.29|246|585
67.3|3992|4477
100.93|7640|8014
35.97|2005|2466
139.32|10283|10831
129.42|6883|7164
104.23|8041|8336
43.25|3279|3353
50.58|4120|4089
85.11|5305|5307
82.41|4785|5332
145.88|9549|10098
239.88|15551|15989
51.76|1995|2459
21.78|1695|1721
23.88|2133|2681
25.7|2321|2870
67.61|3067|3552
44.87|2006|2468
9.46|466|848
45.71|3061|3511
93.33|4573|5014
32.21|1903|2450
9.68|685|1231
39.08|2466|3003
53.95|3013|3467
41.69|2300|2753
32.81|1860|2340
77.62|7483|7842
134.28|8604|9158
31.19|2031|2583
134.9|8459|8892
103.28|7297|7669
86.7|5171|5710
56.75|3983|4339
105.2|9780|10334
39.08|2398|2945
39.45|3201|3661
18.54|1759|2190
98.17|5832|6221
43.85|2427|2322
107.65|8285|8722
85.9|6442|6965
69.5|4841|5314
58.34|4388|4678
96.83|5772|6221
56.75|4463|4861
77.98|4643|5032
3.97|262|207
83.56|6734|7043
31.05|1812|2295
53.95|4857|5028
95.06|6521|6971
109.65|6985|7260
39.26|2293|2848
54.95|4289|4813
33.73|1666|2194
22.08|1713|2234
15.28|1402|1467
17.46|1290|1599
66.68|2451|2991
87.9|4850|5239
94.19|5549|6088
47.21|2506|3045
130.02|8476|8767
48.98|2406|2955
30.34|2104|2661
114.29|7688|7783
81.66|5350|5815
59.7|3925|4480
14.06|760|1315
53.21|2942|3421
63.97|4612|5135
65.77|4557|4524
45.29|2919|3402
50.35|2228|2783
92.04|5851|6316
20.23|931|1289
74.82|3688|4114
61.66|4246|4804
137.4|9835|10155
79.07|5907|6332
29.38|1628|2135
142.56|7209|7587
27.67|1693|1556
46.56|4071|4629
3.63|115|92
102.8|7749|8183
63.97|4711|4893
109.65|6864|7222
23.33|1248|1765
33.73|2566|3118
26.55|1722|2219
137.4|5747|6173
112.2|5236|5704
19.59|1445|1743
60.26|4782|4988
45.08|3120|3134
78.7|6401|6937
40.74|3525|3964
63.97|4482|5040
35.65|2649|3202
82.04|5809|6244
96.38|8756|9215
82.41|5509|5975
131.83|8755|9201
21.68|1323|1768
97.72|8580|9139
28.58|1502|1800
72.78|5061|5528
22.18|1527|1828
39.99|2551|3105
45.08|4587|4785
31.77|1437|1740
27.54|2689|3243
21.98|1485|1818
70.15|4797|5014
25.12|1307|1730
36.14|2041|2599
54.45|4865|5083
147.91|8951|9402
20.23|1130|1635
4.06|74|42
64.86|4338|4894
68.55|4063|4441
26.3|1283|1838
45.08|3560|4119
39.99|2197|2758
12.19|741|1300
93.33|6408|6737
89.13|5843|6288
19.32|1363|1831
33.42|2776|3331
19.5|2376|2931
27.42|1671|2164
3.61|77|44
60.26|3644|4070
16.6|1186|1122
3.53|348|310
46.77|4588|5134
45.5|1984|2544
71.45|3065|3626
33.88|2268|2825
136.77|7482|7880
3.61|329|301
39.26|2006|2498
3.77|168|136
3.88|215|180
38.02|2430|2990
26.92|2176|2738
35.97|2335|2896
3.82|183|173
128.82|8376|8784
28.44|1197|1371
109.65|7616|8033
27.93|2576|3135
35.48|2398|2952
0.78|-20|302
35.16|2479|3039
36.31|2239|2799
1.38|156|645
116.41|8434|8986
60.26|4013|4507
151.36|8873|9428
133.66|7284|7739
116.41|6832|7219
34.04|1263|1363
127.64|9550|10084
69.5|3508|4070
93.76|6967|7215
75.86|5273|5734
39.63|1414|1689
20.61|1166|1265
93.33|6079|6602
1.37|176|739
3.81|107|79
31.62|2494|3049
18.28|725|1288
131.22|8896|9450
1.34|132|695
34.51|2598|3157
119.12|6861|7299
14.72|851|1413
23.88|1175|1278
7.69|431|766
3.63|112|89
3.61|-20|-27
91.2|4871|5258
10.26|464|1005
23.88|2553|3108
8.87|467|423
89.13|4533|5082
102.33|7080|7545
84.33|4774|5334
24.32|1473|1883
110.15|4729|5290
83.56|4808|5366
83.95|4663|5224
38.73|1319|1626
3.74|95|76
110.66|8616|9171
29.24|1305|1611
10.81|661|843
54.2|2642|3090
0.26|165|619
112.72|6265|6783
78.34|4983|5400
15.85|873|1436
145.21|7621|8173
85.51|5909|6459
62.52|3472|4025
21.18|1550|1963
46.13|2484|3045
1.37|149|682
93.76|9108|9672
32.06|2606|3166
82.79|4971|5343
75.51|4699|5047
130.02|9399|9964
35.48|2266|2821
22.28|1196|1699
3.73|282|300
41.5|2386|2950
35.97|2696|3148
145.88|13145|13665
207.01|12564|13083
206.06|13134|13654
136.77|12334|12853
101.86|13774|14294
204.17|12567|13087
140.6|12219|12738
41.88|1084|1568
53.95|3392|3956
231.21|14045|14564
23.23|1092|1593
134.28|13762|14282
143.22|14315|14834
137.4|13419|13938
17.86|861|1424
36.31|2754|3311
